SwallowID,is_video_available,hosting_platform
9244,0,Zoom
9246,0,Zoom
9247,0,Zoom
9249,0,Zoom
9250,0,Zoom
9251,0,Zoom
9252,0,YouTube; Zoom
9253,0,
9254,0,
9255,0,
9256,0,
9259,0,Facebook Live
9260,1,Facebook Live
9261,1,Facebook Live
9262,0,
9263,1,Zoom
9264,0,Zoom
9268,0,YouTube; Zoom
9270,0,
9271,0,Zoom
9272,1,Facebook Live
9273,0,Facebook Live
9276,0,Facebook Live
9277,1,Zoom
9278,0,Zoom
9279,0,Zoom
9280,0,Zoom
9285,0,Zoom
9286,0,Zoom
9287,0,Zoom
9288,0,Zoom
9289,0,Zoom
9290,0,Zoom
9291,1,Zoom
9292,0,Zoom
9293,0,Zoom
9294,0,Zoom
9295,0,Zoom
9296,0,Zoom
9297,0,Zoom
9298,0,Zoom
9301,0,Instagram
9302,0,Instagram
9303,0,Instagram
9304,0,Instagram
9307,0,Instagram
9308,0,Instagram
9329,0,Zoom
9330,0,Zoom
9331,0,Instagram
9332,0,Instagram
9334,0,Facebook Live
9337,0,
9339,0,
9340,0,
9341,1,Webex
9342,0,
9343,0,
9344,0,
9346,0,Zoom
9347,0,Zoom
9348,0,
9349,0,Zoom
9350,0,Zoom
9351,0,Zoom
9352,0,Zoom
9353,0,Zoom
9354,0,Zoom
9355,0,Zoom
9356,0,Zoom
9357,0,Zoom
9358,0,Zoom
9359,0,Zoom
9360,0,Zoom
9361,0,Zoom
9362,0,Zoom
9363,0,Zoom
9364,0,Zoom
9365,0,Zoom
9366,0,Zoom
9367,0,Zoom
9368,0,Zoom
9369,0,Zoom
9370,0,Zoom
9371,0,
9372,0,
9373,0,
9374,0,
9375,0,
9376,0,
9377,0,
9378,0,
9379,0,
9380,0,Zoom
9381,0,Zoom
9382,0,Zoom
9383,0,Zoom
9384,0,Zoom
9385,0,Zoom
9386,0,Zoom
9387,0,Zoom
9388,0,Zoom
9391,0,
9392,0,
9393,0,
9394,0,
9395,0,
9396,0,
9397,0,
9398,0,
9399,0,
9406,0,
9407,0,
9412,0,
9413,0,
9414,0,
9416,1,Facebook Live
9417,1,Facebook Live
9418,0,
9419,1,
9420,0,
9421,0,
9422,0,
9423,0,
9424,0,
9425,0,
9426,0,
9427,0,
9428,0,
9429,0,
9430,0,
9431,0,
9432,0,
9433,0,
9434,0,
9435,0,
9436,0,
9438,0,
9439,1,
9445,0,
9446,0,
9447,0,
9448,0,
9449,0,
9451,0,
9454,0,
9455,0,
9456,0,
9457,0,
9458,0,
9459,0,
9466,0,Facebook Live
9467,0,Livestream
9471,0,Zoom
9472,0,Zoom
9473,0,Zoom
9474,0,Livestream
9475,0,
9476,0,Facebook Live
9477,0,Zoom
9478,0,Zoom
9479,0,Zoom
9480,0,Zoom
9481,0,Zoom
9482,0,
9483,0,
9484,0,Zoom
9485,0,Zoom
9486,0,Zoom
9487,0,Zoom
9488,0,Zoom
9489,0,Zoom
9490,0,Zoom
9491,0,
9492,0,Zoom
9494,0,
9495,0,
9496,0,
9497,0,
9498,0,
9499,0,
9500,0,
9501,0,
9502,0,
9508,1,
9510,0,
9511,1,
9512,1,
9513,0,
9514,0,
9515,1,
9516,0,
9517,0,
9518,1,
9519,0,
9520,1,
9521,1,
9522,1,
9523,1,
9524,0,
9525,1,
9526,0,
9527,0,
9528,1,
9530,1,
9531,0,
9532,0,
9533,0,
9534,0,
9535,0,
9536,0,
9537,0,
9538,0,
9539,0,Instagram Live
9540,0,Instagram Live
9541,0,Instagram Live
9542,0,Instagram Live
9543,0,Zoom
9544,0,
9545,0,Instagram Live
9546,0,Facebook Live
9547,0,Zoom
9548,0,Zoom
9549,0,Zoom
9550,0,Zoom
9551,0,Zoom
9552,0,Zoom
9553,0,Zoom
9555,0,Zoom
9556,0,Zoom
9557,0,Zoom
9558,0,Zoom
9559,0,Zoom
9563,0,Zoom
9564,0,Zoom
9565,0,
9566,0,
9567,0,
9568,0,
9569,0,
9570,0,Zoom
9571,0,
9572,0,
9573,0,
9574,0,
9575,0,
9576,0,
9577,0,
9579,0,
9581,0,
9582,0,
9583,0,
9584,0,
9585,0,
9586,0,
9587,0,
9588,0,
9590,0,
9591,0,
9592,0,Zoom
9593,1,Zoom
9594,0,Zoom
9599,1,
9600,1,
9601,1,
9602,1,
9603,0,
9604,1,
9605,0,
9606,0,
9607,0,
9608,0,
9611,0,Facebook Live
9612,0,Instagram
9614,0,
9615,0,
9616,0,
9617,0,
9618,0,
9619,0,
9620,0,
9621,0,
9622,0,
9623,0,Instagram Live
9624,0,Instagram Live
9626,0,Zoom
9627,0,YouTube
9628,0,Zoom
9629,0,Instagram Live
9630,0,YouTube; Zoom
9631,0,Facebook Live
9632,0,Facebook Live; Zoom
9637,1,Zoom
9638,1,Zoom
9639,1,
9641,1,Zoom
9644,1,Facebook
9645,0,
9646,1,
9647,0,
9648,0,Zoom
9649,0,Zoom
9650,0,Zoom
9651,0,Facebook Live; Zoom
9652,0,Facebook Live; Zoom
9653,0,Facebook Live; Zoom
9654,0,Zoom
9655,0,Facebook Live
9656,0,Facebook Live
9657,0,Facebook Live; Zoom
9658,0,Zoom
9659,0,Zoom
9660,0,Zoom
9661,0,Crowdcast
9662,0,Facebook Live; Zoom
9663,0,Instagram Live
9664,0,Zoom
9665,0,YouTube; Zoom
9666,0,Facebook Live
9667,0,Zoom
9668,0,
9669,0,
9670,0,Zoom
9671,0,
9672,0,
9673,0,
9674,0,Facebook Live; Zoom
9676,0,
9677,0,
9678,0,
9679,1,Facebook Live
9680,0,Zoom
9681,0,
9682,0,
9683,0,
9684,0,
9685,0,
9686,0,
9687,1,Facebook Live
9688,1,Facebook Live
9690,1,Facebook Live
9691,1,Facebook Live
9692,1,Facebook Live
9693,1,Facebook Live
9694,0,Facebook Live
9695,0,Facebook Live
9696,0,Facebook Live
9697,0,
9698,0,Facebook Live
9699,0,Facebook Live
9700,0,Facebook Live
9701,1,Facebook Live
9703,0,
9704,0,
9705,0,
9706,0,
9708,0,
9710,0,
9711,0,
9712,0,
9714,0,
9715,0,
9716,0,
9720,0,Zoom
9721,0,
9722,0,
9723,0,
9724,0,Zoom
9725,0,
9728,0,
9729,0,
9730,0,
9732,0,
9733,0,
9734,0,
9735,0,
9736,0,
9737,1,Facebook Live
9739,0,YouTube
9740,0,
9741,0,
9742,0,
9747,0,Zoom
9753,0,Zoom
9771,0,
9772,0,
9773,0,
9786,0,YouTube
9787,0,YouTube
9788,0,YouTube
9790,1,Zoom
9792,0,
9793,0,YouTube
9794,0,YouTube; Zoom
9795,0,YouTube
9796,0,YouTube
9797,0,YouTube
9798,0,YouTube
9799,0,YouTube
9800,0,YouTube; Zoom
9801,0,
9802,0,Zoom
9803,0,Zoom
9804,0,YouTube
9805,0,
9806,0,
9807,0,Zoom
9808,0,Zoom
9809,0,Zoom
9810,0,Zoom
9811,0,
9812,1,Facebook Live; YouTube
9813,1,Facebook Live; YouTube
9814,1,Facebook Live; YouTube
9815,1,Facebook Live; YouTube
9816,1,Facebook Live; YouTube
9817,1,Facebook Live; YouTube
9818,0,Zoom
9822,0,Instagram Live
9824,0,Zoom
9825,0,Zoom
9826,0,Zoom
9827,0,Zoom
9829,0,Zoom
9830,0,Zoom
9831,0,Zoom
9832,0,Zoom
9833,0,Zoom
9834,0,Zoom
9835,0,
9836,0,
9837,0,Zoom
9838,0,
9840,0,
9841,0,Zoom
9842,0,Zoom
9843,0,Zoom
9844,0,Zoom
9845,0,Zoom
9846,0,Zoom
9847,0,Zoom
9848,0,Zoom
9849,0,Zoom
9850,0,Zoom
9851,0,Zoom
9852,0,Zoom
9853,0,Zoom
9854,0,Zoom
9855,0,Zoom
9856,0,Zoom
9858,0,Zoom
9859,0,Zoom
9860,0,Zoom
9861,0,Zoom
9862,0,Zoom
9863,0,Zoom
9864,0,Zoom
9865,0,Zoom
9866,0,Zoom
9867,0,Zoom
9868,0,Zoom
9869,0,Zoom
9870,1,Zoom
9871,0,Zoom
9872,0,In-person
9873,0,Zoom
9874,0,Zoom
9875,0,Zoom
9876,0,Zoom
9877,0,Zoom
9878,0,Zoom
9879,0,
9880,0,
9881,0,
9882,0,Zoom
9883,0,In-person
9884,0,In-person
9885,0,In-person
9886,0,In-person
9887,0,In-person
9888,0,In-person
9889,0,In-person
9891,0,Facebook Live
9892,0,Facebook Live
9894,0,In-person
9895,0,YouTube
9896,0,
9897,0,
9898,0,
9899,0,
9900,0,
9901,0,
9902,0,
9903,0,
9904,0,
9905,0,
9906,0,
9907,0,
9908,0,
9909,0,
9910,0,
9911,0,
9912,0,
9913,0,
9922,0,
9924,0,Zoom
9925,0,Zoom
9926,0,
9927,0,
9928,0,
9930,0,
9931,0,
9932,0,Zoom
9933,0,Zoom
9935,0,Zoom
9936,1,Zoom
9937,0,Zoom
9938,0,Zoom
9939,0,Zoom
9940,0,Zoom
9941,0,Zoom
9942,0,Zoom
9943,0,In-person
9944,0,In-person
9945,0,Crowdcast
9946,0,In-person
9949,0,
9950,0,
9951,0,
9952,0,
9953,0,
9954,0,Zoom
9955,1,Facebook; In-person; Twitter; YouTube
9956,0,Zoom
9957,0,Zoom
9958,0,Zoom
9960,0,Zoom
9961,0,Zoom
9962,0,Zoom
9963,0,Zoom
9965,0,Zoom
9966,0,Zoom
9967,0,Zoom
9968,0,Zoom
9969,0,Zoom
9970,0,Zoom
9971,0,Zoom
9972,0,Zoom
9973,0,Zoom
9974,0,Zoom
9976,0,
9977,0,Zoom
9978,0,
9979,0,Zoom
9980,0,Zoom
9981,0,Zoom
9982,0,Zoom
9983,0,Zoom
9984,0,Zoom
9985,0,
9986,0,
9987,0,
9988,0,
9989,0,Zoom
9990,0,Zoom
9991,0,
9992,0,
9993,0,
9994,0,Zoom
9995,0,Zoom
9996,0,Zoom
9997,0,Zoom
9998,0,Zoom
9999,0,
10000,0,
10001,0,Zoom
10002,0,Zoom
10003,0,
10004,0,Zoom
10005,0,Zoom
10006,0,Zoom
10009,0,Zoom
10010,0,Zoom
10011,0,
10012,0,Zoom
10013,0,Zoom
10014,0,Zoom
10015,0,Zoom
10016,0,Zoom
10017,0,Zoom
10018,0,Zoom
10019,0,
10021,0,
10022,0,
10023,0,
10024,0,
10025,1,
10026,0,
10027,1,
10028,0,Zoom
10029,0,
10030,0,Zoom
10031,0,Zoom
10032,0,Zoom
10033,0,Zoom
10034,0,In-person
10035,0,Zoom
10036,0,
10037,0,Zoom
10038,0,Zoom
10039,0,Zoom
10040,0,Zoom
10041,0,Zoom
10042,0,Zoom
10043,1,Zoom
10044,1,Zoom
10045,1,Zoom
10046,1,
10047,1,
10049,1,
10050,1,
10051,1,
10052,0,
10053,1,
10058,1,
10059,1,
10060,1,
10061,0,Zoom
10062,0,Zoom
10063,0,Zoom
10064,0,Zoom
10065,1,Zoom
10066,0,Zoom
10067,0,Zoom
10068,0,Zoom
10069,0,Zoom
10070,0,
10071,1,Zoom
10072,1,Zoom
10073,0,Zoom
10074,0,
10075,1,Zoom
10076,0,
10077,0,In-person
10078,0,In-person
10079,0,Zoom
10080,0,Zoom
10081,0,Zoom
10084,0,Facebook Live
10085,0,
10090,0,
10094,0,Zoom
10095,0,Zoom
10098,0,
10099,0,Zoom
10100,0,Zoom
10101,0,Zoom
10102,0,Zoom
10103,0,Zoom
10104,0,Zoom
10105,0,Zoom
10106,0,Zoom
10107,0,Zoom
10108,0,Zoom
10110,0,
10115,0,Zoom
10116,0,Zoom
10119,0,Zoom
10120,0,Zoom
10121,0,Zoom
10122,0,Zoom
10123,0,Zoom
10125,0,Zoom
10126,0,
10127,0,
10128,0,Zoom
10129,0,
10130,0,Zoom
10131,0,Instagram Live
10132,0,In-person
10133,0,YouTube
10134,0,
10135,0,YouTube
10136,0,Zoom
10137,0,Zoom
10138,0,
10139,0,In-person
10140,0,Zoom
10141,0,
10142,0,Zoom
10143,0,Zoom
10145,0,Zoom
10146,0,Zoom
10147,0,Zoom
10148,0,Zoom
10151,0,Facebook
10152,0,Zoom
10153,0,YouTube
10154,0,Zoom
10155,0,Zoom
10156,0,Zoom
10157,0,Zoom
10163,0,Zoom
10164,0,
10167,0,
10168,0,
10169,0,
10170,0,
10171,0,
10172,0,
10173,0,
10174,0,
10175,0,
10177,0,Zoom
10178,0,Zoom
10179,0,Zoom
10183,0,Zoom
10184,0,Zoom
10185,0,Zoom
10187,0,
10188,0,
10189,0,
10190,0,
10191,0,
10192,0,
10193,0,
10194,0,
10195,0,
10196,0,
10197,0,
10198,0,
10199,0,
10200,1,YouTube
10201,1,YouTube
10202,1,YouTube
10203,1,YouTube
10204,1,YouTube
10205,1,YouTube
10206,0,
10207,0,
10208,0,Zoom
10209,1,YouTube
10221,0,
10225,0,
10227,0,
10228,0,
10229,0,Facebook Live
10230,0,Facebook Live
10231,0,
10232,0,Zoom
10233,0,Zoom
10234,0,
10235,0,
10236,0,
10237,0,
10238,0,
